Trace,AMAT L1,AMAT L2,AMAT L3
400.perlbench-41B.trace.txt.gz,4.12,4.117,4.131
454.calculix-104B.trace.txt.gz,4.21,4.214,4.239
464.h264ref-30B.trace.txt.gz,4.28,4.287,4.32
481.wrf-1170B.trace.txt.gz,5.915,5.426,5.59
437.leslie3d-134B.trace.txt.gz,5.985,6.033,6.271
456.hmmer-191B.trace.txt.gz,6.05,5.557,5.585
435.gromacs-111B.trace.txt.gz,6.125,5.578,5.589
436.cactusADM-1804B.trace.txt.gz,6.17,5.487,5.641
444.namd-120B.trace.txt.gz,6.185,4.546,4.605
473.astar-153B.trace.txt.gz,6.225,5.483,5.387
458.sjeng-1088B.trace.txt.gz,7.46,4.676,4.748
445.gobmk-17B.trace.txt.gz,9.705,4.834,4.918
416.gamess-875B.trace.txt.gz,9.865,4.659,4.721
482.sphinx3-1100B.trace.txt.gz,9.97,9.467,9.465
410.bwaves-1963B.trace.txt.gz,12.035,9.962,10.579
401.bzip2-226B.trace.txt.gz,13.43,6.136,5.527
403.gcc-16B.trace.txt.gz,14.82,14.935,16.186
433.milc-127B.trace.txt.gz,15.04,15.305,16.63
453.povray-887B.trace.txt.gz,16.5,5.291,5.228
471.omnetpp-188B.trace.txt.gz,17.985,12.647,13.35
465.tonto-1769B.trace.txt.gz,18.07,18.408,11.707
470.lbm-1274B.trace.txt.gz,21.935,16.515,16.846
450.soplex-247B.trace.txt.gz,37.865,31.994,17.105
429.mcf-184B.trace.txt.gz,57.625,51.047,34.552
459.GemsFDTD-1169B.trace.txt.gz,12.99,,
462.libquantum-1343B.trace.txt.gz,12.825,,
483.xalancbmk-127B.trace.txt.gz,14.32,,
